epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.347,1.10568,2.74419,1.32348,0.46278,0.43186,0.44549,0.31712,1.09302,2.87949,1.28183,0.00036865,0.00036865,0.00036865
2,262.196,1.16367,2.33267,1.34109,0.35917,0.5084,0.42565,0.29344,1.20519,2.47557,1.40557,0.000702404,0.000702404,0.000702404
3,421.114,1.2161,2.32403,1.37585,0.37531,0.40827,0.37283,0.24694,1.26593,2.50552,1.3725,0.000999494,0.000999494,0.000999494
4,575.525,1.22521,2.21514,1.38473,0.43511,0.44737,0.35408,0.224,1.31138,3.23499,1.44306,0.000946016,0.000946016,0.000946016
