epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93547,1.66344,4.50266,3.97262,1.1799,0.0059,0.875,0.03454,0.01715,0.00669,1,0.1742,0.09877,1.2391,2.21419,3.72856,0.83858,8.335e-05,8.335e-05,8.335e-05
2,5.79988,1.53167,3.27472,3.86089,1.11758,0.00671,1,0.2041,0.13895,0.00671,1,0.32936,0.23448,0.9,1.80801,3.69877,0.80291,0.000166035,0.000166035,0.000166035
3,8.65397,1.40399,2.20473,3.64301,1.0473,0.00675,1,0.26188,0.21606,0.00675,1,0.38098,0.243,0.72002,1.41789,3.70778,0.76441,0.00018646,0.00018646,0.00018646
4,11.4552,1.45412,2.17986,4.1984,1.02642,0.00675,1,0.26188,0.21606,0.00675,1,0.38098,0.243,0.72002,1.41789,3.70778,0.76441,0.000134974,0.000134974,0.000134974
5,14.2823,1.3747,1.76514,3.16512,0.99259,0.00678,1,0.1884,0.10944,0.00678,1,0.30858,0.18963,0.77309,1.37557,3.69254,0.76376,5.05361e-05,5.05361e-05,5.05361e-05
